,imdb_title_id,title,original_title,year,date_published,genre,country,avg_vote,votes,budget,usa_gross_income,metascore,reviews_from_users,reviews_from_critics
78421,tt2197776,Training for a Fight,Training for a Fight,2012,7/10/2012,"Action, Drama, Sport",USA,1.4,149,RUR 500000,,,1.0,
75212,tt0088751,The Naked Monster,The Naked Monster,2005,4/22/2005,"Comedy, Horror, Sci-Fi",USA,5.4,264,PYG 350000000,,,15.0,8.0
35397,tt0110169,It's Pat: The Movie,It's Pat: The Movie,1994,11/25/1994,Comedy,USA,2.7,9238,GBP 8000000,"$60,822 ",,122.0,12.0
37353,tt0044788,Kangarù,Kangaroo,1952,6/1/1952,"Adventure, Drama, Western",USA,5.5,258,GBP 800000,,,7.0,7.0
55017,tt0039737,Notte senza fine,Pursued,1947,1/30/1948,"Drama, Mystery, Romance",USA,7.2,2773,GBP 610000,,,45.0,41.0
40179,tt0022268,La donna di platino,Platinum Blonde,1931,11/1/1933,"Comedy, Romance",USA,6.9,2719,GBP 600000,,,60.0,27.0
45168,tt0055719,L'eroe di Sparta,The 300 Spartans,1962,10/1/1962,"Adventure, Drama, History",USA,6.6,6500,GBP 500000,,,111.0,22.0
76258,tt1525898,The Space Between,The Space Between,2010,9/11/2011,Drama,USA,6.6,627,GBP 15000,,,6.0,8.0
62110,tt1103256,Red sands - La forza occulta,Red Sands,2009,3/25/2009,"Action, Horror, Thriller",USA,4.2,3297,GBP 1500,,,32.0,20.0
4033,tt9062580,Alone,Alone,2019,5/20/2019,"Adventure, Drama, Sci-Fi",USA,6.4,206,EUR 570000,,,,
28728,tt1524130,Hitler's Grave,Hitler's Grave,2010,10/21/2011,Drama,USA,3.6,362,EUR 2300000,,,14.0,
54636,tt0425308,Noise,Noise,2007,11/25/2009,"Comedy, Crime, Drama",USA,6.2,4164,EUR 2000,"$16,513 ",55.0,29.0,32.0
58778,tt0097758,Piccoli mostri,Little Monsters,1989,8/25/1989,"Adventure, Comedy, Family",USA,6.1,11063,ESP 20,"$793,775 ",,61.0,12.0
40940,tt0082497,La mano,The Hand,1981,4/24/1981,"Drama, Horror, Thriller",USA,5.5,5416,CAD 6500000,"$2,447,576 ",59.0,58.0,54.0
83984,tt0209486,Wish You Were Dead,Wish You Were Dead,2001,12/5/2001,"Comedy, Crime, Thriller",USA,4.9,388,CAD 4500000,,,7.0,2.0
75481,tt0156881,The Pawn,The Pawn,1999,4/4/1999,"Action, Crime, Drama",USA,4.2,132,CAD 2100000,,,3.0,1.0
23351,tt0128216,Flophouse,Flophouse,2002,2002,Comedy,USA,1.9,204,CAD 15000,,,2.0,
83010,tt0338543,Wake,Wake,2003,11/15/2003,Drama,USA,6.6,362,AUD 1000,"$7,212 ",34.0,15.0,5.0
39675,tt0043117,La carovana dei mormoni,Wagon Master,1950,1/10/1951,"Adventure, Western",USA,7.1,4226,"$999,370 ",,,56.0,44.0
59902,tt0043120,Prego sorrida!,Watch the Birdie,1950,1/12/1951,"Comedy, Crime, Romance",USA,6.2,322,"$996,000 ",,,13.0,2.0
80236,tt0050771,Un urlo nella notte,No Down Payment,1957,10/30/1957,Drama,USA,7.1,864,"$995,000 ",,,31.0,7.0
82721,tt0029546,Voglio danzare con te,Shall We Dance,1937,10/27/1937,"Comedy, Musical, Romance",USA,7.5,6414,"$991,000 ",,,60.0,23.0
4362,tt4733536,American Hero,American Hero,2015,12/11/2015,"Action, Comedy, Drama",USA,4.9,3798,"$990,000 ",,42.0,30.0,19.0
67934,tt2452042,Snoopy & Friends - Il film dei Peanuts,The Peanuts Movie,2015,11/5/2015,"Animation, Comedy, Family",USA,7.1,41469,"$99,000,000 ","$130,178,411 ",67.0,199.0,242.0
17290,tt0044540,Desert Passage,Desert Passage,1952,5/30/1952,"Action, Adventure, Western",USA,5.7,147,"$99,000 ",,,4.0,2.0
80797,tt0028444,Undersea Kingdom,Undersea Kingdom,1936,5/30/1936,"Sci-Fi, Adventure",USA,4.8,476,"$99,000 ",,,20.0,11.0
4901,tt0825346,And Then Came Love,And Then Came Love,2007,6/1/2007,"Comedy, Romance",USA,4.7,486,"$989,000 ","$13,944 ",,4.0,6.0
53647,tt0041513,Nella polvere del profondo Sud,Intruder in the Dust,1949,3/20/1950,"Crime, Drama",USA,7.5,1902,"$988,000 ",,,34.0,18.0
67415,tt0449393,Siren,Siren,2006,2006,"Comedy, Drama, Music",USA,2.6,1794,"$987,850 ",,,12.0,1.0
64490,tt0046202,Sangue sul fiume,Powder River,1953,6/8/1953,Western,USA,6.4,219,"$985,000 ",,,8.0,5.0
27703,tt0071598,Harry & Tonto,Harry and Tonto,1974,5/19/1979,"Adventure, Comedy, Drama",USA,7.4,4987,"$980,000 ",,,68.0,38.0
33953,tt0358529,I'll Bury You Tomorrow,I'll Bury You Tomorrow,2002,6/17/2002,"Horror, Thriller, Mystery",USA,5.8,257,"$980,000 ",,,18.0,23.0
48563,tt0021106,Madame Satan,Madam Satan,1930,9/20/1930,"Comedy, Drama, Musical",USA,6.5,838,"$980,000 ",,,43.0,19.0
12618,tt0056687,Che fine ha fatto Baby Jane?,What Ever Happened to Baby Jane?,1962,5/17/1963,"Drama, Horror, Thriller",USA,8.1,48788,"$980,000 ",,75.0,247.0,106.0
41221,tt0209163,La mummia - Il ritorno,The Mummy Returns,2001,5/11/2001,"Action, Adventure, Fantasy",USA,6.3,296653,"$98,000,000 ","$202,019,785 ",48.0,927.0,195.0
21855,tt0020572,Evviva il pericolo!,Welcome Danger,1929,5/5/1930,Comedy,USA,6.0,669,"$979,828 ",,,26.0,13.0
56182,tt0086050,One Dark Night,One Dark Night,1982,2/25/1983,Horror,USA,5.7,2495,"$978,000 ",,,72.0,33.0
39341,tt0348663,L.A. D.J.,L.A. D.J.,2004,4/2/2004,Comedy,USA,5.0,109,"$975,000 ",,,10.0,
14286,tt0820858,Confessions,Confessions,2006,7/27/2007,"Crime, Drama, Mystery",USA,3.5,138,"$975,000 ",,,4.0,1.0
15769,tt0401516,Dancing in Twilight,Dancing in Twilight,2005,2005,"Romance, Drama",USA,5.8,101,"$975,000 ",,,3.0,1.0
76247,tt0017419,The Sorrows of Satan,The Sorrows of Satan,1926,10/12/1926,"Drama, Romance",USA,6.2,206,"$971,260 ",,,7.0,4.0
42293,tt0044665,La strada dell'eternità,Glory Alley,1952,6/6/1952,"Drama, Music",USA,6.1,429,"$971,000 ",,,14.0,4.0
50678,tt0049443,Mia moglie è di leva,The Lieutenant Wore Skirts,1956,1/11/1956,Comedy,USA,5.8,225,"$970,000 ",,,6.0,6.0
32626,tt0078508,Il mistero di Wolf Lake,Wolf Lake,1980,2/8/1980,"Drama, Thriller",USA,6.2,247,"$970,000 ",,,12.0,7.0
83814,tt4065214,Wild Men,Wild Men,2017,2/7/2017,"Adventure, Comedy, Horror",USA,4.8,100,"$97,948 ",,,3.0,
44527,tt1950186,Le Mans '66 - La grande sfida,Ford v Ferrari,2019,11/14/2019,"Action, Biography, Drama",USA,8.1,251782,"$97,600,000 ","$117,624,357 ",81.0,1316.0,337.0
46719,tt3315342,Logan - The Wolverine,Logan,2017,3/1/2017,"Action, Drama, Sci-Fi",USA,8.1,627493,"$97,000,000 ","$226,277,068 ",77.0,1574.0,644.0
46239,tt0045919,L'isola nel cielo,Island in the Sky,1953,9/5/1953,"Adventure, Drama",USA,6.9,3034,"$967,000 ",,,77.0,24.0
81434,tt0030216,Vacanze d'amore,Having Wonderful Time,1938,7/1/1938,"Comedy, Romance",USA,6.0,668,"$966,000 ",,,13.0,5.0
8523,tt0044105,Bersaglio eccellente,The Tall Target,1951,8/17/1951,"Adventure, Crime, Drama",USA,7.2,1646,"$966,000 ",,,37.0,18.0
63156,tt0075148,Rocky,Rocky,1976,3/25/1977,"Drama, Sport",USA,8.1,506246,"$960,000 ","$117,235,147 ",70.0,705.0,184.0
2122,tt0052030,É sbarcato un marinaio,Onionhead,1958,10/25/1958,"Comedy, Drama, War",USA,6.0,502,"$960,000 ",,,14.0,2.0
42208,tt0028661,La sposa vestiva di rosa,The Bride Wore Red,1937,10/8/1937,"Comedy, Drama, Romance",USA,6.2,867,"$960,000 ",,,25.0,13.0
32686,tt0049128,Il mostro del pianeta perduto,Day the World Ended,1955,12/1/1955,"Horror, Sci-Fi",USA,5.4,1818,"$96,000 ",,,61.0,32.0
14589,tt0064911,"Corri, Angel, corri!","Run, Angel, Run!",1969,5/22/1970,"Action, Drama",USA,5.3,224,"$96,000 ",,,8.0,9.0
71143,tt0036748,Tamara figlia della steppa,Days of Glory,1944,6/16/1944,"Drama, Romance, War",USA,6.2,1169,"$958,000 ",,,29.0,9.0
7886,tt0035664,Bataan,Bataan,1943,4/15/1944,"Drama, War",USA,6.9,2205,"$958,000 ",,,46.0,8.0
63902,tt0048790,Sabato tragico,Violent Saturday,1955,9/30/1955,"Crime, Drama, Film-Noir",USA,6.9,1994,"$955,000 ",,,48.0,46.0
33618,tt0049225,Il suo angelo custode,"Forever, Darling",1956,2/9/1956,"Comedy, Fantasy",USA,6.3,856,"$951,000 ",,,20.0,8.0
13603,tt0267379,Close Call,Close Call,2004,4/16/2004,"Action, Crime, Drama",USA,4.1,118,"$950,000 ","$12,077 ",,10.0,6.0
21529,tt0023990,Eschimo,Eskimo,1933,1/10/1934,Drama,USA,7.0,356,"$950,000 ",,,14.0,10.0
11882,tt0034583,Casablanca,Casablanca,1942,11/21/1946,"Drama, Romance, War",USA,8.5,509953,"$950,000 ","$4,108,411 ",100.0,1303.0,196.0
19722,tt0033563,Dumbo,Dumbo,1941,11/27/1948,"Animation, Drama, Family",USA,7.2,116855,"$950,000 ",,96.0,173.0,130.0
12531,tt0330136,Charly,Charly,2002,9/20/2002,"Comedy, Drama, Romance",USA,6.6,890,"$950,000 ","$814,666 ",,43.0,6.0
12897,tt2505294,Chiedimi tutto,Ask Me Anything,2014,12/19/2014,Drama,USA,6.0,11351,"$950,000 ",,,83.0,10.0
78445,tt1111235,Trance,Trance,2010,2010,Horror,USA,4.1,107,"$950,000 ",,,1.0,
15192,tt0445948,Cult,Cult,2007,8/1/2010,Horror,USA,2.9,932,"$950,000 ",,,7.0,11.0
27617,tt0424136,Hard Candy,Hard Candy,2005,4/28/2006,"Drama, Thriller",USA,7.1,151976,"$950,000 ","$1,024,640 ",58.0,733.0,247.0
8129,tt0026104,Becky Sharp,Becky Sharp,1935,6/28/1935,"Drama, Romance, War",USA,5.9,870,"$950,000 ",,,32.0,19.0
72501,tt0024894,The Black Cat,The Black Cat,1934,5/7/1934,"Adventure, Crime, Horror",USA,7.0,9155,"$95,745 ",,,154.0,93.0
45146,tt1667889,L'era glaciale 4 - Continenti alla deriva,Ice Age: Continental Drift,2012,9/28/2012,"Animation, Adventure, Comedy",USA,6.6,187558,"$95,000,000 ","$161,321,843 ",49.0,152.0,236.0
42296,tt0138749,La strada per El Dorado,The Road to El Dorado,2000,10/13/2000,"Animation, Adventure, Comedy",USA,6.9,82217,"$95,000,000 ","$50,863,742 ",51.0,163.0,77.0
11501,tt1790886,Candidato a sorpresa,The Campaign,2012,9/21/2012,Comedy,USA,6.1,123110,"$95,000,000 ","$86,907,746 ",50.0,186.0,263.0
52589,tt0161837,Mutilations,Mutilations,1986,1986,"Horror, Sci-Fi",USA,5.0,138,"$95,000 ",,,8.0,6.0
13540,tt0315411,Claustrophobia,Claustrophobia,2003,6/18/2003,"Horror, Thriller",USA,3.5,325,"$95,000 ",,,33.0,9.0
79282,tt0133246,Twister's Revenge!,Twister's Revenge!,1988,9/29/1988,"Action, Comedy, Sci-Fi",USA,2.2,275,"$95,000 ",,,19.0,8.0
23685,tt9626278,Fourteen,Fourteen,2019,1/16/2020,Drama,USA,6.9,303,"$95,000 ",,79.0,,108.0
33833,tt0025617,Il velo dipinto,The Painted Veil,1934,11/23/1934,"Drama, Romance",USA,6.6,1241,"$947,000 ",,,28.0,14.0
32544,tt0044938,Il mio uomo,My Man and I,1952,8/21/1953,Drama,USA,6.3,302,"$946,000 ",,,10.0,5.0
31796,tt0051767,Il falso generale,Imitation General,1958,8/29/1958,"Comedy, War",USA,6.7,546,"$944,000 ",,,12.0,2.0
58308,tt0063462,"Per favore, non toccate le vecchiette",The Producers,1967,1/2/1971,"Comedy, Music",USA,7.6,49059,"$941,000 ","$328,673 ",96.0,264.0,97.0
57400,tt0043526,Papà diventa nonno,Father's Little Dividend,1951,4/27/1951,"Comedy, Romance",USA,6.6,3313,"$941,000 ",,,39.0,15.0
30566,tt0034485,I ragazzi di Broadway,Babes on Broadway,1941,1/1/1942,"Comedy, Musical, Romance",USA,6.7,1329,"$940,068 ",,,36.0,7.0
8505,tt0037791,Berlino Hotel,Hotel Berlin,1945,3/2/1945,"Drama, War",USA,6.8,682,"$940,000 ",,,22.0,10.0
33634,tt0013201,Il talismano della nonna,Grandma's Boy,1922,9/3/1922,"Comedy, Family",USA,7.0,1618,"$94,412 ",,,24.0,16.0
24551,tt0079190,Gal Young Un,Gal Young Un,1979,9/24/1979,Drama,USA,6.9,116,"$94,000 ",,,3.0,2.0
23919,tt2298394,Free the Nipple,Free the Nipple,2014,12/12/2014,"Comedy, Drama",USA,3.9,1627,"$937,000 ","$4,198 ",33.0,19.0,16.0
60905,tt0044207,Quando i mondi si scontrano,When Worlds Collide,1951,5/16/1952,"Action, Sci-Fi, Thriller",USA,6.6,6994,"$936,000 ",,,117.0,42.0
56593,tt0050825,Orizzonti di gloria,Paths of Glory,1957,1/22/1958,"Drama, War",USA,8.4,172671,"$935,000 ",,90.0,428.0,162.0
42690,tt0042960,La via della morte,Side Street,1950,8/25/1951,"Crime, Drama, Film-Noir",USA,7.1,2450,"$935,000 ",,,37.0,30.0
41288,tt0054351,La nostra vita comincia di notte,The Subterraneans,1960,6/23/1960,Drama,USA,5.2,276,"$931,724 ",,,11.0,2.0
49786,tt0402904,Massacro al cimitero,Cemetery Gates,2006,5/30/2006,"Horror, Action, Sci-Fi",USA,3.5,1084,"$930,000 ",,,40.0,29.0
48021,tt0059575,L'uomo del banco dei pegni,The Pawnbroker,1964,2/9/1967,Drama,USA,7.7,8124,"$930,000 ",,69.0,82.0,57.0
36797,tt0163025,Jurassic Park III,Jurassic Park III,2001,8/31/2001,"Action, Adventure, Sci-Fi",USA,5.9,290954,"$93,000,000 ","$181,171,875 ",42.0,1312.0,226.0
29183,tt0033728,Horror Island,Horror Island,1941,3/28/1941,"Comedy, Mystery, Thriller",USA,6.1,640,"$93,000 ",,,22.0,23.0
21915,tt0023993,Ex-Lady,Ex-Lady,1933,5/15/1933,"Comedy, Drama",USA,6.6,1183,"$93,000 ",,,22.0,10.0
53426,tt0033942,Navy Blues,Navy Blues,1941,9/13/1941,"Comedy, Musical, Romance",USA,6.0,235,"$929,000 ",,,14.0,1.0
24109,tt0035019,Frutto proibito,The Major and the Minor,1942,6/7/1947,"Comedy, Romance",USA,7.4,6065,"$928,000 ",,,64.0,51.0
40324,tt0036775,La fiamma del peccato,Double Indemnity,1944,10/12/1946,"Crime, Drama, Film-Noir",USA,8.3,139564,"$927,262 ",,95.0,397.0,147.0
40070,tt0023926,La danza di Venere,Dancing Lady,1933,11/24/1933,"Comedy, Musical, Romance",USA,6.7,1968,"$923,055 ",,,47.0,16.0
40297,tt0015864,La febbre dell'oro,The Gold Rush,1925,10/23/1925,"Adventure, Comedy, Drama",USA,8.2,97480,"$923,000 ",,,190.0,125.0
39843,tt0032342,La città del peccato,City for Conquest,1940,9/21/1940,"Drama, Music, Sport",USA,7.3,2128,"$920,000 ",,,45.0,17.0
28489,tt0493425,Hiding Victoria,Hiding Victoria,2006,1/10/2007,Drama,USA,5.3,150,"$920,000 ",,,13.0,2.0
25851,tt0317705,Gli Incredibili - Una 'normale' famiglia di supereroi,The Incredibles,2004,11/26/2004,"Animation, Action, Adventure",USA,8.0,642759,"$92,000,000 ","$261,441,092 ",90.0,947.0,237.0
5223,tt0166485,Anna and the King,Anna and the King,1999,1/14/2000,"Drama, History, Romance",USA,6.7,35293,"$92,000,000 ","$39,263,420 ",56.0,221.0,82.0
79281,tt0117998,Twister,Twister,1996,10/25/1996,"Action, Adventure, Thriller",USA,6.4,173857,"$92,000,000 ","$241,721,524 ",68.0,442.0,119.0
40438,tt0036365,La fortuna è bionda,Slightly Dangerous,1943,4/1/1943,"Comedy, Romance",USA,6.8,605,"$918,000 ",,,25.0,5.0
5288,tt0017632,Annie Laurie,Annie Laurie,1927,5/11/1927,"Drama, Romance",USA,5.9,355,"$916,000 ",,,5.0,1.0
53504,tt1084733,Necessary Evil,Necessary Evil,2008,12/31/2008,Thriller,USA,3.2,420,"$915,000 ",,,11.0,6.0
42048,tt0031549,La signora dei tropici,Lady of the Tropics,1939,8/11/1939,"Drama, Romance",USA,6.2,482,"$913,000 ",,,24.0,6.0
24077,tt0047296,Fronte del porto,On the Waterfront,1954,11/25/1954,"Crime, Drama, Thriller",USA,8.1,138516,"$910,000 ",,91.0,332.0,163.0
44552,tt0034465,Le mille e una notte,Arabian Nights,1942,1943,"Action, Adventure, Comedy",USA,6.1,1231,"$904,765 ",,,18.0,22.0
75209,tt0444736,The Naked Brothers Band: The Movie,The Naked Brothers Band: The Movie,2005,5/28/2007,"Comedy, Family, Music",USA,3.9,1110,"$900,000 ",,,46.0,1.0
13804,tt0156417,Cold Hearts,Cold Hearts,1999,1999,"Thriller, Horror",USA,4.8,353,"$900,000 ",,,22.0,12.0
38984,tt1078583,Krews,Krews,2010,3/1/2010,"Action, Crime, Drama",USA,5.9,220,"$900,000 ",,,4.0,2.0
60428,tt0066870,Provaci ancora mamma,Bunny O'Hare,1971,10/18/1971,Comedy,USA,6.0,923,"$900,000 ",,,21.0,13.0
68685,tt0803075,Southern Gothic,Southern Gothic,2007,2007,"Drama, Horror",USA,4.3,278,"$900,000 ",,,8.0,10.0
47916,tt0065466,Lungo la valle delle bambole,Beyond the Valley of the Dolls,1970,6/17/1970,"Comedy, Drama, Music",USA,6.2,9814,"$900,000 ",,60.0,156.0,124.0
41647,tt0082346,La promessa di Satana,Evilspeak,1981,2/26/1982,Horror,USA,5.7,3230,"$900,000 ",,,66.0,107.0
21799,tt0180683,Everything's Jake,Everything's Jake,2000,3/1/2000,"Comedy, Drama",USA,6.1,112,"$900,000 ",,,1.0,1.0
13815,tt0462232,Cold Storage,Cold Storage,2009,5/4/2010,"Drama, Horror, Thriller",USA,4.8,354,"$900,000 ",,,11.0,4.0
41326,tt0069005,La notte della lunga paura,Night of the Lepus,1972,10/4/1972,"Horror, Sci-Fi, Thriller",USA,4.2,4098,"$900,000 ",,37.0,134.0,112.0
48450,tt0040558,Macbeth,Macbeth,1948,2/17/1951,"Drama, History, War",USA,7.5,6187,"$900,000 ",,,54.0,48.0
15237,tt0118908,Cupido - Messaggero di morte,Cupid,1997,2/11/1997,"Horror, Thriller",USA,4.4,308,"$900,000 ",,,8.0,3.0
10197,tt1935902,Botte di fortuna,The Brass Teapot,2012,4/15/2013,"Comedy, Fantasy, Thriller",USA,6.4,14450,"$900,000 ","$6,997 ",43.0,45.0,64.0
48682,tt0282484,"Mafioso: The Father, the Son","Mafioso: The Father, the Son",2001,10/1/2001,"Crime, Drama",USA,4.7,250,"$900,000 ",,,18.0,2.0
69253,tt0042035,Stanotte sorgerà il sole,We Were Strangers,1949,4/27/1949,"Adventure, Drama, Romance",USA,6.6,964,"$900,000 ",,,34.0,15.0
76560,tt0462579,The Treatment,The Treatment,2006,4/28/2006,"Comedy, Drama, Romance",USA,5.8,1037,"$900,000 ","$83,354 ",54.0,10.0,29.0
29834,tt0041555,I bassifondi di San Francisco,Knock on Any Door,1949,3/1/1950,"Crime, Drama, Film-Noir",USA,6.8,2968,"$900,000 ",,,50.0,22.0
56380,tt0345228,Open Window,Open Window,2006,9/1/2006,Drama,USA,6.1,974,"$900,000 ",,,16.0,12.0
10912,tt0462409,Bunny Whipped,Bunny Whipped,2007,4/1/2007,Comedy,USA,3.9,206,"$900,000 ",,,1.0,3.0
31406,tt0018773,Il circo,The Circus,1928,10/1/1928,"Comedy, Romance",USA,8.1,27414,"$900,000 ",,90.0,327.0,65.0
45919,tt0025746,L'imperatrice Caterina,The Scarlet Empress,1934,11/9/1934,"Drama, History, Romance",USA,7.6,5688,"$900,000 ",,,51.0,49.0
31119,tt0067658,Il barone rosso,Von Richthofen and Brown,1971,9/10/1971,"Action, Biography, Drama",USA,6.0,1057,"$900,000 ",,,28.0,18.0
61980,tt0089885,Re-Animator,Re-Animator,1985,8/22/1986,"Comedy, Horror, Sci-Fi",USA,7.2,54717,"$900,000 ","$2,023,414 ",73.0,240.0,195.0
82492,tt1509125,Virus X,Virus X,2010,10/1/2010,"Horror, Sci-Fi",USA,2.7,549,"$900,000 ",,,12.0,10.0
50767,tt0795426,Midnight Clear,Midnight Clear,2006,2006,Drama,USA,6.1,732,"$900,000 ",,,20.0,13.0
39745,tt0067491,La casa delle ombre maledette,Night of Dark Shadows,1971,8/4/1971,"Drama, Horror, Mystery",USA,5.7,1319,"$900,000 ",,,47.0,28.0
56088,tt0796339,On Broadway,On Broadway,2007,4/25/2007,Drama,USA,6.0,277,"$900,000 ","$23,968 ",,10.0,12.0
76065,tt1070858,The Secrets of Jonathan Sperry,The Secrets of Jonathan Sperry,2008,9/18/2009,Drama,USA,6.7,1302,"$900,000 ","$1,355,079 ",,25.0,4.0
75723,tt0414951,The Quiet - Segreti svelati,The Quiet,2005,3/20/2007,"Crime, Drama, Thriller",USA,6.2,15447,"$900,000 ","$381,420 ",29.0,105.0,59.0
45135,tt0107387,Leprechaun,Leprechaun,1993,1/8/1993,"Comedy, Fantasy, Horror",USA,4.8,22755,"$900,000 ","$8,556,940 ",17.0,197.0,92.0
61720,tt0045070,Rancho Notorious,Rancho Notorious,1952,1/30/1953,Western,USA,7.0,3850,"$900,000 ",,,45.0,34.0
6128,tt1674769,Ashes,Ashes,2010,9/9/2010,"Horror, Sci-Fi, Thriller",USA,4.8,275,"$900,000 ",,,3.0,30.0
61717,tt0867411,Ranchero,Ranchero,2008,5/6/2011,"Crime, Drama",USA,5.5,122,"$900,000 ","$24,036 ",,3.0,1.0
10335,tt0094793,Brain Damage (La maledizione di Elmer),Brain Damage,1988,4/22/1988,"Comedy, Drama, Horror",USA,6.6,9253,"$900,000 ",,,64.0,115.0
75740,tt0435721,The Rain Makers,The Rain Makers,2005,1/15/2005,"Action, Drama",USA,3.8,110,"$900,000 ",,,5.0,
74219,tt1172994,The House of the Devil,The House of the Devil,2009,5/4/2012,Horror,USA,6.4,39801,"$900,000 ","$101,215 ",73.0,268.0,257.0
61510,tt0053644,Ragazzo tuttofare,The Bellboy,1960,2/10/1961,Comedy,USA,6.5,3838,"$900,000 ",,70.0,43.0,22.0
51043,tt0067433,Minnie e Moskowitz,Minnie and Moskowitz,1971,12/3/1976,"Comedy, Drama, Romance",USA,7.3,4016,"$900,000 ",,,29.0,35.0
35617,tt1801063,Jacob,Jacob,2011,9/30/2011,Horror,USA,3.9,829,"$900,000 ",,,26.0,21.0
75782,tt3154604,The Red Man,The Red Man,2016,10/25/2016,"Horror, Mystery",USA,3.9,110,"$900,000 ",,,1.0,3.0
10246,tt0473153,Boxboarders!,Boxboarders!,2007,7/29/2008,Comedy,USA,5.3,216,"$900,000 ",,,5.0,
28902,tt0029588,Hollywood,Something to Sing About,1937,9/30/1937,"Comedy, Musical",USA,6.3,772,"$900,000 ",,,26.0,7.0
50169,tt4191580,Meet the Blacks,Meet the Blacks,2016,4/1/2016,"Comedy, Horror",USA,4.8,35472,"$900,000 ","$9,097,072 ",26.0,46.0,16.0
28778,tt0041503,Ho ritrovato la vita,Impact,1949,10/10/1950,"Crime, Drama, Film-Noir",USA,7.1,3040,"$900,000 ",,,77.0,14.0
60393,tt2334649,Prossima fermata Fruitvale Station,Fruitvale Station,2013,3/13/2014,"Biography, Crime, Drama",USA,7.5,73870,"$900,000 ","$16,101,339 ",85.0,201.0,328.0
74546,tt0122143,The Last Broadcast,The Last Broadcast,1998,10/23/1998,"Horror, Mystery",USA,5.3,4744,$900 ,"$12,097 ",,171.0,46.0
74821,tt0307105,The Long Island Cannibal Massacre,The Long Island Cannibal Massacre,1980,1980,"Horror, Thriller",USA,4.6,182,$900 ,,,16.0,31.0
76120,tt0014463,The Shock,The Shock,1923,6/10/1923,Drama,USA,6.5,375,"$90,220 ",,,18.0,6.0
19380,tt0113492,Dredd - La legge sono io,Judge Dredd,1995,9/22/1995,"Action, Crime, Sci-Fi",USA,5.6,108618,"$90,000,000 ","$34,693,481 ",,267.0,119.0
34749,tt0140352,Insider - Dietro la verità,The Insider,1999,2/25/2000,"Biography, Drama, Thriller",USA,7.8,157061,"$90,000,000 ","$29,089,912 ",84.0,550.0,215.0
34772,tt0141369,Inspector Gadget,Inspector Gadget,1999,12/23/1999,"Action, Adventure, Comedy",USA,4.1,44636,"$90,000,000 ","$97,403,112 ",36.0,237.0,74.0
82123,tt0119643,Vi presento Joe Black,Meet Joe Black,1998,1/29/1999,"Drama, Fantasy, Romance",USA,7.2,210620,"$90,000,000 ","$44,619,100 ",43.0,806.0,102.0
82903,tt0120461,Vulcano - Los Angeles 1997,Volcano,1997,11/28/1997,"Action, Drama, Sci-Fi",USA,5.5,70963,"$90,000,000 ","$49,323,468 ",55.0,212.0,95.0
39707,tt0338094,La casa dei fantasmi,The Haunted Mansion,2003,3/26/2004,"Comedy, Family, Fantasy",USA,5.0,41032,"$90,000,000 ","$75,847,266 ",34.0,191.0,134.0
32190,tt0120751,Il grande Joe,Mighty Joe Young,1998,3/26/1999,"Action, Adventure, Family",USA,5.6,27219,"$90,000,000 ","$50,632,037 ",51.0,97.0,40.0
40198,tt0327162,La donna perfetta,The Stepford Wives,2004,7/9/2004,"Comedy, Horror, Sci-Fi",USA,5.3,59624,"$90,000,000 ","$59,484,742 ",42.0,429.0,165.0
50353,tt0119654,Men in Black,Men in Black,1997,10/3/1997,"Action, Adventure, Comedy",USA,7.3,506999,"$90,000,000 ","$250,690,539 ",71.0,351.0,162.0
85635,tt0960144,Zohan - Tutte le donne vengono al pettine,You Don't Mess with the Zohan,2008,10/3/2008,Comedy,USA,5.5,187831,"$90,000,000 ","$100,018,837 ",54.0,426.0,205.0
52356,tt0120762,Mulan,Mulan,1998,12/4/1998,"Animation, Adventure, Family",USA,7.6,244506,"$90,000,000 ","$120,620,254 ",71.0,321.0,142.0
4121,tt2974918,Alvin Superstar - Nessuno ci può fermare,Alvin and the Chipmunks: The Road Chip,2015,12/23/2015,"Animation, Adventure, Comedy",USA,5.0,16287,"$90,000,000 ","$85,886,987 ",33.0,70.0,73.0
24326,tt0187078,Fuori in 60 secondi,Gone in Sixty Seconds,2000,9/15/2000,"Action, Crime, Thriller",USA,6.5,256788,"$90,000,000 ","$101,648,571 ",35.0,552.0,135.0
17860,tt0112864,Die Hard - Duri a morire,Die Hard: With a Vengeance,1995,10/20/1995,"Action, Adventure, Thriller",USA,7.6,357243,"$90,000,000 ","$100,012,499 ",58.0,388.0,169.0
58037,tt0120784,Payback - La rivincita di Porter,Payback,1999,2/26/1999,"Action, Crime, Drama",USA,7.1,129729,"$90,000,000 ","$81,526,121 ",46.0,414.0,153.0
11935,tt0162222,Cast Away,Cast Away,2000,1/12/2001,"Adventure, Drama, Romance",USA,7.8,510788,"$90,000,000 ","$233,632,142 ",73.0,1184.0,100.0
78300,tt0120363,Toy Story 2 - Woody & Buzz alla riscossa,Toy Story 2,1999,12/2/1999,"Animation, Adventure, Comedy",USA,7.9,514519,"$90,000,000 ","$245,852,179 ",88.0,614.0,214.0
10520,tt5519340,Bright,Bright,2017,12/22/2017,"Action, Fantasy, Thriller",USA,6.3,164641,"$90,000,000 ",,29.0,968.0,163.0
